ova,overall_score
bov,best_overall
bp,best_position
pot,potential_score
foot,preferred_foot
w/f,weak_foot
sm,skill_moves
a/w,away_win
d/w,draw_games
ir,international_reputation
pac,pace
sho,shooting
pas,passing
dri,dribble
def,defend
phy,physical
hits,hits
ls,left_striker
st,striker
rs,right_striker
lw,left_winger
lf,left_forward
cf,center_forward
rf,right_forward
rw,right_winger
lam,left_attacking_midfield
cam,center_attacking_midfield
ram,right_attacking_midfield
lm,left_midfielder
lcm,left_center_midfield
cm,center_midfield
rcm,right_center_midfield
rm,right_midfielder
lwb,left_wing_back
ldm,left_defensive_midfield
cdm,center_defensive_midfield
rdm,right_defensive_midfield
rwb,right_wing_back
lb,left_back
lcb,left_center_back
cb,center_back
rcb,right_center_back
rb,right_back
gk,goalkeeper
